Customer ID,Recency,Total_Transactions,Total_Products_Purchased,Total_Spend,Average_Transaction_Value,Unique_Products_Purchased,Cancellation_Frequency,Cancellation_Rate,Monthly_Spending_Mean,Monthly_Spending_Std,RFM
12346.0,325,2,0,0.0,0.0,1,1.0,0.5,0.0,0.0,Churned Passenger
12347.0,1,7,2458,4310.0,615.7142857142857,103,0.0,0.0,615.7143,341.07077,Regular
12348.0,74,4,2332,1437.24,359.30999755859375,21,0.0,0.0,359.31,203.87569,Regular
12349.0,18,1,630,1457.55,1457.550048828125,72,0.0,0.0,1457.55,0.0,Regular
12350.0,309,1,196,294.4,294.3999938964844,16,0.0,0.0,294.4,0.0,Churned Passenger
12352.0,35,8,463,1265.41,158.17625427246094,57,1.0,0.125,316.3525,134.70064,Regular
12353.0,203,1,20,89.0,89.0,4,0.0,0.0,89.0,0.0,Churned Passenger
12354.0,231,1,530,1079.4,1079.4000244140625,58,0.0,0.0,1079.4,0.0,Churned Passenger
12355.0,213,1,240,459.4,459.3999938964844,13,0.0,0.0,459.4,0.0,Churned Passenger
12356.0,22,3,1573,2487.43,829.143310546875,52,0.0,0.0,829.1433,991.4626,Regular
12357.0,32,1,2708,6207.67,6207.669921875,131,0.0,0.0,6207.67,0.0,Regular
12358.0,1,2,242,928.05994,464.02996826171875,12,0.0,0.0,464.02997,83.67899,Regular
12359.0,7,6,1599,6182.98,1030.4966634114583,214,2.0,0.3333333333333333,1030.4967,1137.5667,Regular
12360.0,51,3,1156,2302.06,767.3533528645834,104,0.0,0.0,767.35333,270.76575,Regular
12361.0,286,1,90,174.90001,174.90000915527344,9,0.0,0.0,174.90001,0.0,Churned Passenger
12362.0,2,13,2180,4665.58,358.89077524038464,200,3.0,0.23076923076923078,583.1975,393.99228,Regular
12363.0,109,2,408,552.0,276.0,23,0.0,0.0,276.0,32.66833,Regular
12364.0,7,4,1499,1208.1,302.0249938964844,69,0.0,0.0,302.025,211.40654,Regular
12365.0,290,1,173,320.69,320.69000244140625,21,0.0,0.0,320.69,0.0,Churned Passenger
12367.0,3,1,172,150.90001,150.90000915527344,10,0.0,0.0,150.90001,0.0,Regular
12370.0,50,4,2349,3421.94,855.4849853515625,142,0.0,0.0,1140.6466,532.1485,Regular
12371.0,59,1,582,1527.96,1527.9599609375,62,0.0,0.0,1527.96,0.0,Regular
12372.0,71,3,788,1196.04,398.6800130208333,33,0.0,0.0,398.68002,70.346886,Regular
12373.0,310,1,196,324.6,324.6000061035156,13,0.0,0.0,324.6,0.0,Churned Passenger
12374.0,24,1,339,622.93,622.9299926757812,32,0.0,0.0,622.93,0.0,Regular
12375.0,2,3,175,375.41998,125.13999430338542,13,1.0,0.3333333333333333,125.14001,110.18665,Regular
12377.0,314,2,942,1548.12,774.0599975585938,71,0.0,0.0,774.06,321.67706,Churned Passenger
12378.0,129,1,2529,4008.62,4008.6201171875,219,0.0,0.0,4008.62,0.0,Regular
12379.0,81,3,401,775.29,258.42999267578125,38,1.0,0.3333333333333333,258.43,227.01497,Regular
12380.0,21,5,1109,2423.56,484.71201171875,76,1.0,0.2,605.89,210.47948,Regular
12381.0,4,4,772,1433.46,358.364990234375,69,1.0,0.25,477.81998,456.29816,Regular
12383.0,184,6,1515,1617.31,269.5516764322917,83,1.0,0.16666666666666666,323.462,236.76987,Churned Passenger
12384.0,28,3,117,406.16,135.38666788736978,25,1.0,0.3333333333333333,135.38666,133.79805,Regular
12386.0,337,2,354,401.9,200.9499969482422,10,0.0,0.0,200.95,81.953674,Churned Passenger
12388.0,15,6,1462,2780.66,463.4433186848958,57,0.0,0.0,463.44333,327.15247,Regular
12390.0,79,1,350,504.84,504.8399963378906,31,0.0,0.0,504.84,0.0,Regular
12391.0,21,1,293,439.66,439.6600036621094,92,0.0,0.0,439.66,0.0,Regular
12393.0,71,4,816,1582.6,395.6499938964844,47,0.0,0.0,527.5333,109.07522,Regular
12394.0,63,2,808,1080.48,540.239990234375,25,0.0,0.0,540.24,267.51263,Regular
12395.0,15,15,2092,2662.28,177.48533528645834,90,3.0,0.2,295.8089,219.91505,Regular
12397.0,35,2,1250,2214.9,1107.449951171875,109,0.0,0.0,1107.45,3.3376095,Regular
12398.0,45,1,1389,1435.66,1435.6600341796875,84,0.0,0.0,1435.66,0.0,Regular
12399.0,118,4,1173,1033.65,258.4125061035156,46,0.0,0.0,258.4125,143.61917,Regular
12401.0,302,1,10,69.299995,69.29999542236328,4,0.0,0.0,69.299995,0.0,Churned Passenger
12402.0,322,1,92,195.6,195.60000610351562,10,0.0,0.0,195.6,0.0,Churned Passenger
12403.0,49,1,94,391.7,391.70001220703125,4,0.0,0.0,391.7,0.0,Regular
